Time (ps),EPTOT
195.2,-907180.1237
195.4,-907415.4444
195.6,-907458.5472
195.8,-907380.1602
196.0,-907600.3516
196.2,-907548.2151
196.4,-907177.7908
196.6,-907173.5664
196.8,-907286.3611
197.0,-907517.5738
197.2,-907262.082
197.4,-907460.3836
197.6,-907445.081
197.8,-907478.5362
198.0,-907619.9758
198.2,-907390.1176
198.4,-907313.3696
198.6,-907273.5489
198.8,-907440.2527
199.0,-907659.5383
199.2,-907484.09
199.4,-907422.2211
199.6,-907326.8212
199.8,-907643.0787
200.0,-907625.9897
200.2,-907682.0548
200.4,-907997.3503
200.6,-907890.4739
200.8,-908250.2268
201.0,-907897.8483
201.2,-907900.4675
201.4,-908158.1538
201.6,-908251.64
201.8,-908206.2479
202.0,-907540.0819
202.2,-907816.389
202.4,-907835.6244
202.6,-907900.1795
202.8,-907849.8245
203.0,-907963.1295
203.2,-907655.2334
203.4,-907830.602
203.6,-908044.9062
203.8,-907787.9874
204.0,-908013.5223
204.2,-907692.7519
204.4,-907911.3448
204.6,-907462.6681
204.8,-907920.1253
205.0,-907553.7926
205.2,-908243.824
205.4,-907984.9809
205.6,-907640.4861
205.8,-907819.1414
206.0,-908184.3843
206.2,-907726.8495
206.4,-907894.4037
206.6,-907938.9801
206.8,-907986.3505
207.0,-908058.0111
207.2,-908202.4999
207.4,-908178.324
207.6,-908402.7963
207.8,-908141.0041
208.0,-908293.1303
208.2,-908412.5567
208.4,-908456.9891
208.6,-908426.5376
208.8,-908290.9423
209.0,-908244.0239
209.2,-907997.389
209.4,-908379.9008
209.6,-908679.0381
209.8,-907782.9293
210.0,-907788.7172
210.2,-907974.5736
210.4,-908178.934
210.6,-907894.032
210.8,-907999.6239
211.0,-908216.3835
211.2,-908475.61
211.4,-908599.2733
211.6,-908109.7541
211.8,-908190.7188
212.0,-908051.9691
212.2,-908579.7053
212.4,-908150.259
212.6,-907923.9217
212.8,-908256.5004
213.0,-908647.8401
213.2,-908456.6587
213.4,-908321.5262
213.6,-909145.2857
213.8,-908405.6321
214.0,-908450.791
214.2,-908582.4328
214.4,-908335.808
214.6,-908385.0048
214.8,-908686.2633
215.0,-908603.8536
215.2,-908410.8725
215.4,-908512.9079
215.6,-908559.6393
215.8,-908547.1614
216.0,-908018.2809
216.2,-908291.1324
216.4,-908384.3314
216.6,-908195.7046
216.8,-908103.2409
217.0,-908170.3489
217.2,-908438.1673
217.4,-908791.2886
217.6,-908460.3177
217.8,-908581.2489
218.0,-908343.6546
218.2,-908726.935
218.4,-908848.9632
218.6,-908802.0652
218.8,-908640.0814
219.0,-908312.2074
219.2,-908414.1915
219.4,-908485.4593
219.6,-908439.824
219.8,-908490.1815
220.0,-908489.5405
220.2,-907956.1762
220.4,-908282.833
220.6,-908589.7479
220.8,-908403.3558
221.0,-908665.4563
221.2,-908606.6993
221.4,-908384.8931
221.6,-908194.0395
221.8,-908254.319
222.0,-908218.4674
222.2,-908429.6974
222.4,-908689.4973
222.6,-908640.9033
222.8,-908955.96
223.0,-908880.2043
223.2,-909023.3366
223.4,-908978.9635
223.6,-908512.6831
223.8,-908808.0156
224.0,-908864.4147
224.2,-908611.089
224.4,-908583.5859
224.6,-908576.3883
224.8,-908741.9095
225.0,-908964.7276
225.2,-908322.692
225.4,-908281.5748
225.6,-908723.1837
225.8,-908337.8654
226.0,-908421.7694
226.2,-908809.5922
226.4,-908860.0089
226.6,-909009.0872
226.8,-909245.9147
227.0,-908792.0977
227.2,-908300.8319
227.4,-908688.4826
227.6,-908758.546
227.8,-908462.2095
228.0,-908473.7167
228.2,-908956.3291
228.4,-908719.323
228.6,-908596.7341
228.8,-908773.4756
229.0,-908969.3997
229.2,-908924.2543
229.4,-909122.6559
229.6,-908779.7851
229.8,-908979.0591
230.0,-908688.5397
230.2,-909294.5085
230.4,-909018.3069
230.6,-908728.9866
230.8,-909036.4735
231.0,-908775.7536
231.2,-909200.7194
231.4,-909374.941
231.6,-909042.8575
231.8,-908836.6163
232.0,-909165.8343
232.2,-909045.0315
232.4,-909009.6279
232.6,-908819.7937
232.8,-908839.9936
233.0,-909006.1469
233.2,-908890.0823
233.4,-908926.1176
233.6,-908374.3838
233.8,-908099.4756
234.0,-908307.4564
234.2,-908645.7044
234.4,-908986.832
234.6,-908929.9843
234.8,-908971.6344
235.0,-909135.3327
235.2,-908946.5434
235.4,-908876.4196
235.6,-908894.936
235.8,-909089.5483
236.0,-909014.8114
236.2,-909472.5046
236.4,-909082.5589
236.6,-908773.2207
236.8,-909142.9337
237.0,-909489.1702
237.2,-908979.3346
237.4,-909123.6201
237.6,-908887.5482
237.8,-909350.309
238.0,-909165.0222
238.2,-909136.8574
238.4,-909232.5644
238.6,-908703.6458
238.8,-908740.4586
