Time (ps),ETOT
171.6,-833964.6355
171.8,-834264.7068
172.0,-834456.41
172.2,-834464.1321
172.4,-834167.1284
172.6,-834402.7787
172.8,-834618.6724
173.0,-834490.4793
173.2,-834362.2178
173.4,-834523.3604
173.6,-834148.8786
173.8,-834121.5648
174.0,-834281.5005
174.2,-834284.6565
174.4,-834706.8732
174.6,-834410.1636
174.8,-834927.9597
175.0,-835098.8742
175.2,-834876.1266
175.4,-834947.5341
175.6,-834679.3764
175.8,-834145.9633
176.0,-834624.791
176.2,-834625.7789
176.4,-834716.46
176.6,-834753.2912
176.8,-834432.9289
177.0,-834556.6626
177.2,-834409.8681
177.4,-834716.9249
177.6,-834611.1123
177.8,-834489.2906
178.0,-834453.2319
178.2,-834852.7884
178.4,-835006.2017
178.6,-835032.2237
178.8,-835024.9076
179.0,-835168.1434
179.2,-835173.8514
179.4,-834421.8029
179.6,-834610.5139
179.8,-834697.0361
180.0,-834532.682
180.2,-834576.0514
180.4,-834156.5563
180.6,-834413.796
180.8,-834059.5735
181.0,-834049.5277
181.2,-834020.6944
181.4,-834238.2491
181.6,-834213.1833
181.8,-834003.5671
182.0,-833951.7931
182.2,-834295.156
182.4,-833985.5686
182.6,-834465.0829
182.8,-835100.2526
183.0,-835163.1938
183.2,-835260.5986
183.4,-835189.0651
183.6,-835568.0511
183.8,-835386.9181
184.0,-835550.6206
184.2,-835147.6379
184.4,-835122.75
184.6,-835463.6699
184.8,-834859.4542
185.0,-835134.1202
185.2,-835414.5572
185.4,-835661.1799
185.6,-835423.7228
185.8,-835064.6908
186.0,-835288.6392
186.2,-835164.1599
186.4,-834814.9316
186.6,-834947.2093
186.8,-835021.8838
187.0,-835324.0371
187.2,-835982.6495
187.4,-836016.2344
187.6,-835754.547
187.8,-835651.3809
188.0,-835780.8597
188.2,-835506.7744
188.4,-835371.4135
188.6,-834962.5519
188.8,-834771.8519
189.0,-835032.9262
189.2,-835201.2225
189.4,-835247.327
189.6,-835576.2768
189.8,-835157.4358
190.0,-835069.3995
190.2,-835188.8827
190.4,-835131.8543
190.6,-835425.2857
190.8,-835175.6476
191.0,-834933.5015
191.2,-834803.6563
191.4,-834765.0513
191.6,-835315.9703
191.8,-835368.2487
192.0,-835509.5947
192.2,-835208.7112
192.4,-835333.4692
192.6,-835698.3611
192.8,-835618.946
193.0,-835511.3735
193.2,-835320.719
193.4,-835341.5489
193.6,-835558.9294
193.8,-835362.4196
194.0,-834991.2763
194.2,-834742.813
194.4,-834772.1015
194.6,-834833.7162
194.8,-834407.1093
195.0,-834743.1343
195.2,-834941.5464
195.4,-834962.9792
195.6,-834924.5949
195.8,-835267.1583
196.0,-835603.77
196.2,-835123.7073
196.4,-835444.9499
196.6,-835024.1569
196.8,-835125.8242
197.0,-835616.3659
197.2,-835409.5175
197.4,-835284.3744
197.6,-835266.4437
197.8,-835464.9261
198.0,-835215.1469
198.2,-835163.196
198.4,-835907.3931
198.6,-835759.8927
198.8,-835157.7082
199.0,-834525.4363
199.2,-834877.8348
199.4,-834627.4132
199.6,-834762.3821
199.8,-835108.0405
200.0,-835373.385
200.2,-835358.8339
200.4,-835323.4479
200.6,-835408.2377
200.8,-835721.6535
201.0,-835598.4924
201.2,-836019.3019
201.4,-836033.5124
201.6,-835813.8638
201.8,-835579.4378
202.0,-835759.5061
202.2,-835876.3195
202.4,-836045.2919
202.6,-835714.1396
202.8,-835372.3821
203.0,-835210.372
203.2,-835197.156
203.4,-835442.0752
203.6,-834997.623
203.8,-835043.6111
204.0,-835012.6943
204.2,-835163.7314
204.4,-835478.3889
204.6,-835608.4932
204.8,-835547.7374
205.0,-835503.2757
205.2,-835324.0517
205.4,-835152.7091
205.6,-835444.638
205.8,-835668.3486
206.0,-835520.8318
206.2,-835945.9766
206.4,-835763.9466
206.6,-835515.8668
206.8,-835636.7522
207.0,-835017.4213
207.2,-835350.1996
207.4,-835305.3549
207.6,-835384.2015
207.8,-835733.8245
208.0,-835791.1517
208.2,-835864.7339
208.4,-835550.2344
208.6,-835551.4928
208.8,-835294.3847
209.0,-835263.9042
209.2,-835830.967
209.4,-835867.309
209.6,-835955.9752
209.8,-835827.9977
210.0,-835932.9314
210.2,-835471.0511
210.4,-835271.2637
210.6,-835451.8261
210.8,-835428.2864
211.0,-835645.9559
211.2,-835699.6973
211.4,-836161.1125
211.6,-836001.0626
211.8,-836031.361
212.0,-835507.006
212.2,-835698.0866
212.4,-835840.0902
212.6,-835650.102
212.8,-835954.3944
213.0,-836330.4548
213.2,-836430.8387
213.4,-836653.4816
213.6,-836653.0911
213.8,-836506.3911
214.0,-836356.6178
214.2,-836443.5938
214.4,-836188.2329
214.6,-836563.887
214.8,-836027.8091
215.0,-835919.0026
215.2,-836086.6807
215.4,-835817.5304
215.6,-835939.8504
