Time (ps),Radius of gyration (A)
1454.0,31.149651168408774
1456.0,31.172199805121206
1458.0,31.200041351251095
1460.0,31.189301802652484
1462.0,31.17328897052227
1464.0,31.203249629563818
1466.0,31.17462559358588
1468.0,31.18695601415108
1470.0,31.179293023837875
1472.0,31.146933558003983
1474.0,31.1943663802452
1476.0,31.1944113978281
1478.0,31.18120272448831
1480.0,31.17040448264502
1482.0,31.184375688324288
1484.0,31.205041562163714
1486.0,31.21096931188697
1488.0,31.214033788109912
1490.0,31.17092710609018
1492.0,31.18387872676907
1494.0,31.197226514573977
1496.0,31.197846576293013
1498.0,31.183406830859482
1500.0,31.199480405462065
1502.0,31.186913703253897
1504.0,31.20579006165244
1506.0,31.198757861849337
1508.0,31.197046942745757
1510.0,31.196649276164607
1512.0,31.199853687581392
1514.0,31.20475835471558
1516.0,31.188374025475692
1518.0,31.200153738764843
1520.0,31.220255759038743
1522.0,31.201103855130803
1524.0,31.197965237543368
1526.0,31.176679090024297
1528.0,31.15537238642837
1530.0,31.213630294188782
1532.0,31.192578792612423
1534.0,31.177210339134163
1536.0,31.193907987711075
1538.0,31.188406990861345
1540.0,31.16999509178431
1542.0,31.20193201328579
1544.0,31.162588980417027
1546.0,31.177687841127288
1548.0,31.20473509799038
1550.0,31.18302956723335
1552.0,31.178869202293402
1554.0,31.18040659837119
1556.0,31.199316287596815
1558.0,31.17623848187926
1560.0,31.17740363996595
1562.0,31.18620758825871
1564.0,31.186314835102326
1566.0,31.163852327201997
1568.0,31.178624190778667
1570.0,31.186386401231477
1572.0,31.184408801914817
1574.0,31.193058480433056
1576.0,31.174541542071655
1578.0,31.139730016890116
1580.0,31.197325431410338
1582.0,31.160511766205477
1584.0,31.18367839254604
1586.0,31.175725931855517
1588.0,31.172576157571108
1590.0,31.200415687639396
1592.0,31.154935917858847
1594.0,31.171855955929875
1596.0,31.155966287341595
1598.0,31.20794094866458
1600.0,31.184024979298048
1602.0,31.181397435695718
1604.0,31.21614237267929
1606.0,31.208429027585233
1608.0,31.17241549498258
1610.0,31.16252172539693
1612.0,31.170326877029854
1614.0,31.177180861825626
1616.0,31.185563507720993
1618.0,31.183556709563945
1620.0,31.188757606703327
1622.0,31.15868744045629
1624.0,31.14306585450117
1626.0,31.197995945418736
1628.0,31.14900821442934
1630.0,31.193356008768102
1632.0,31.181645608833986
1634.0,31.162317400142953
1636.0,31.198579711330282
1638.0,31.166080819944195
1640.0,31.180730320690603
1642.0,31.185245012664534
1644.0,31.208008576059868
1646.0,31.18590226558992
1648.0,31.16873698094782
1650.0,31.187977791219815
1652.0,31.159441152240255
1654.0,31.173504098326937
1656.0,31.17733168762646
1658.0,31.14392875412729
1660.0,31.18996670107372
1662.0,31.167224064052512
1664.0,31.215208390009547
1666.0,31.17232804956984
1668.0,31.188562465439944
1670.0,31.16134410326053
1672.0,31.168694834989864
1674.0,31.162127636501033
1676.0,31.16960234799551
1678.0,31.17846466697393
1680.0,31.182554709768333
1682.0,31.166671953078335
1684.0,31.194514288867314
1686.0,31.189185308926998
1688.0,31.19003095699187
1690.0,31.204153107830866
1692.0,31.212943279218795
1694.0,31.189659887282932
1696.0,31.20189423583366
1698.0,31.187029727575293
1700.0,31.182299869521636
1702.0,31.21007246944628
1704.0,31.1876181835037
1706.0,31.207557929587672
1708.0,31.18433613481933
1710.0,31.22019844991088
1712.0,31.188552630435925
1714.0,31.219299239110754
1716.0,31.176654729080905
1718.0,31.185060425033758
1720.0,31.173672575386743
1722.0,31.18103864583797
1724.0,31.166687583289548
1726.0,31.176856181623524
1728.0,31.20108482547246
1730.0,31.176612936171555
1732.0,31.1901146499419
1734.0,31.17231022166125
1736.0,31.185661985841943
1738.0,31.17927922213166
1740.0,31.15990110767685
1742.0,31.177097617821822
1744.0,31.170662495674872
1746.0,31.19139999111476
1748.0,31.209369668714785
1750.0,31.184844183380932
1752.0,31.157179541102
1754.0,31.17322796372601
1756.0,31.18523256586948
1758.0,31.20268659137257
1760.0,31.18283674547262
1762.0,31.203987930259032
1764.0,31.207623163545854
1766.0,31.179629402623608
1768.0,31.212425071757643
1770.0,31.19158000178253
1772.0,31.169426551105794
1774.0,31.166258480173894
1776.0,31.192707864525506
1778.0,31.203423852391154
1780.0,31.198488603515873
1782.0,31.196857691231582
1784.0,31.17991781825383
1786.0,31.205201154047106
1788.0,31.19463242933104
1790.0,31.20153388513397
1792.0,31.162302076873548
1794.0,31.19182232280997
1796.0,31.204531037889584
1798.0,31.198144677519362
1800.0,31.19144053719022
1802.0,31.179233814833538
1804.0,31.17768929669888
1806.0,31.181946961430103
1808.0,31.214405921590302
1810.0,31.21644909699406
1812.0,31.217089231014704
1814.0,31.176114632195073
1816.0,31.201353828457783
1818.0,31.18566482456373
1820.0,31.173895358917974
1822.0,31.180339863061025
1824.0,31.176016982789843
1826.0,31.188954279838956
1828.0,31.179415403838043
1830.0,31.222458469840586
1832.0,31.17180150676732
1834.0,31.184567957767854
1836.0,31.181667069880405
1838.0,31.21076613038901
1840.0,31.178382065563017
1842.0,31.181695610491158
1844.0,31.165262707192323
1846.0,31.159960963759694
1848.0,31.182604569540498
1850.0,31.193168179960793
1852.0,31.14481535500106
1854.0,31.170124337316977
1856.0,31.175926880481743
1858.0,31.161912125333803
1860.0,31.199480589005574
1862.0,31.180675638481
1864.0,31.184260983647015
1866.0,31.160331304576363
1868.0,31.18941245263087
1870.0,31.19539050222183
1872.0,31.190442454166565
