Time (ps),ETOT
146.6,-570603.7465
146.8,-570657.1294
147.0,-570470.0107
147.2,-570564.042
147.4,-570699.3436
147.6,-570325.0099
147.8,-570229.6205
148.0,-570272.1101
148.2,-569963.0187
148.4,-570442.8204
148.6,-570708.3134
148.8,-570645.4292
149.0,-570889.5761
149.2,-570795.0932
149.4,-570472.2979
149.6,-570493.9266
149.8,-570505.4112
150.0,-570643.3869
150.2,-570895.8415
150.4,-570932.9798
150.6,-570808.9519
150.8,-570632.609
151.0,-571143.0972
151.2,-570794.4847
151.4,-570573.7541
151.6,-570724.7833
151.8,-570695.3444
152.0,-570574.5741
152.2,-570632.2108
152.4,-570595.1685
152.6,-570427.3646
152.8,-570551.3817
153.0,-570686.5581
153.2,-570947.5896
153.4,-570816.1731
153.6,-570501.8769
153.8,-570495.6247
154.0,-570597.6826
154.2,-570966.9168
154.4,-570961.185
154.6,-570885.866
154.8,-570929.0218
155.0,-571032.226
155.2,-571090.5065
155.4,-571268.8882
155.6,-571112.4906
155.8,-570906.4643
156.0,-571326.955
156.2,-570841.5893
156.4,-571322.2935
156.6,-571253.914
156.8,-571232.7847
157.0,-571380.1336
157.2,-571403.0107
157.4,-571100.4457
157.6,-571105.9883
157.8,-570950.0998
158.0,-571068.2312
158.2,-570692.432
158.4,-570878.0607
158.6,-570954.1964
158.8,-570770.5836
159.0,-570821.8787
159.2,-570900.819
159.4,-570793.6
159.6,-571108.9841
159.8,-570988.6939
160.0,-570927.4374
160.2,-571111.9336
160.4,-571164.1805
160.6,-571042.7202
160.8,-571245.8187
161.0,-570924.2544
161.2,-570768.6373
161.4,-570591.9095
161.6,-570749.78
161.8,-570709.8861
162.0,-570944.3831
162.2,-571320.6651
162.4,-571022.0005
162.6,-571031.6717
162.8,-571021.9807
163.0,-570985.5066
163.2,-571360.7032
163.4,-571124.1713
163.6,-571038.3709
163.8,-570895.3697
164.0,-570779.3236
164.2,-571007.5439
164.4,-570877.3006
164.6,-571002.192
164.8,-570934.8869
165.0,-571062.8224
165.2,-571026.6181
165.4,-571246.0799
165.6,-571311.3882
165.8,-570944.8421
166.0,-570722.8839
166.2,-571053.3539
166.4,-571140.7673
166.6,-571086.5311
166.8,-571342.6115
167.0,-571720.5478
167.2,-571552.029
167.4,-571235.5404
167.6,-571640.7076
167.8,-571872.8439
168.0,-571785.9437
168.2,-571981.6649
168.4,-572034.3431
168.6,-571744.6317
168.8,-571843.0662
169.0,-571901.6005
169.2,-571761.3341
169.4,-571734.6941
169.6,-571723.4411
169.8,-571515.0895
170.0,-571794.3001
170.2,-572293.6267
170.4,-572006.6861
170.6,-571632.5526
170.8,-571620.4157
171.0,-571723.6335
171.2,-571832.0391
171.4,-571871.7514
171.6,-571402.2022
171.8,-571446.7047
172.0,-571248.6871
172.2,-571401.744
172.4,-571264.6713
172.6,-571368.7586
172.8,-571338.4442
173.0,-571496.0357
173.2,-571128.2029
173.4,-571122.5504
173.6,-570929.6476
173.8,-570976.4746
174.0,-571187.2961
174.2,-571110.6592
174.4,-571350.549
174.6,-571389.0246
174.8,-571616.5997
175.0,-571379.4554
175.2,-571291.9614
175.4,-571343.2539
175.6,-571485.7548
175.8,-571409.598
176.0,-571261.9833
176.2,-571329.9594
176.4,-571119.4712
176.6,-570787.7804
176.8,-571222.324
177.0,-571117.6916
177.2,-571156.2262
177.4,-571398.144
177.6,-571058.7891
177.8,-571299.9649
178.0,-571481.93
178.2,-571540.7888
178.4,-571609.9686
178.6,-571806.4433
178.8,-572029.772
179.0,-572073.5456
179.2,-571809.5537
179.4,-571990.5082
179.6,-572141.5758
179.8,-571976.6956
180.0,-571901.8237
180.2,-571738.6822
180.4,-571463.9017
180.6,-571691.147
180.8,-571570.0251
181.0,-571649.1562
181.2,-571537.7692
181.4,-571635.5715
181.6,-571478.0019
181.8,-571277.9009
182.0,-571459.9242
182.2,-571236.6285
182.4,-571626.5509
182.6,-571351.5499
182.8,-571247.7926
183.0,-571199.5265
183.2,-571217.6461
183.4,-571241.932
183.6,-571743.5922
183.8,-571976.3582
184.0,-571852.7311
184.2,-571474.9431
184.4,-571666.6127
184.6,-571859.2208
184.8,-571623.0703
185.0,-571609.328
185.2,-571636.2775
185.4,-571203.7518
185.6,-571272.8728
185.8,-571534.4499
186.0,-571725.6312
186.2,-571894.2186
186.4,-572038.6208
186.6,-571859.5739
186.8,-571960.756
187.0,-572014.1132
187.2,-571919.2812
187.4,-571950.5026
187.6,-572317.9549
187.8,-572241.7236
188.0,-572096.7054
188.2,-572350.6712
188.4,-572128.7078
188.6,-572544.1997
188.8,-572447.2023
189.0,-572594.407
189.2,-572190.6178
