Time (ps),TEMP
210.4,299.52
210.6,300.44
210.8,302.17
211.0,300.7
211.2,302.16
211.4,300.59
211.6,300.25
211.8,300.53
212.0,301.38
212.2,299.2
212.4,300.86
212.6,300.72
212.8,300.34
213.0,299.18
213.2,300.13
213.4,299.13
213.6,299.96
213.8,301.51
214.0,299.92
214.2,300.9
214.4,300.56
214.6,301.26
214.8,301.42
215.0,300.97
215.2,300.18
215.4,299.26
215.6,298.63
215.8,300.92
216.0,300.58
216.2,301.3
216.4,298.72
216.6,299.24
216.8,299.86
217.0,299.84
217.2,298.78
217.4,300.64
217.6,298.75
217.8,301.53
218.0,300.63
218.2,297.56
218.4,299.48
218.6,298.81
218.8,299.4
219.0,300.05
219.2,299.58
219.4,300.03
219.6,300.6
219.8,298.39
220.0,298.89
220.2,300.22
220.4,300.98
220.6,298.87
220.8,299.91
221.0,299.46
221.2,299.88
221.4,299.81
221.6,300.52
221.8,301.01
222.0,299.45
222.2,301.07
222.4,300.92
222.6,299.06
222.8,299.6
223.0,300.57
223.2,300.75
223.4,299.46
223.6,300.81
223.8,301.42
224.0,300.11
224.2,301.72
224.4,299.97
224.6,299.48
224.8,298.82
225.0,300.66
225.2,299.48
225.4,302.62
225.6,299.29
225.8,299.66
226.0,300.23
226.2,301.06
226.4,299.65
226.6,299.8
226.8,300.92
227.0,300.04
227.2,300.29
227.4,301.22
227.6,300.14
227.8,300.53
228.0,301.59
228.2,300.83
228.4,299.77
228.6,299.71
228.8,298.27
229.0,298.85
229.2,298.49
229.4,299.72
229.6,300.33
229.8,300.72
230.0,301.49
230.2,300.36
230.4,300.48
230.6,299.83
230.8,301.2
231.0,299.5
231.2,300.53
231.4,300.36
231.6,299.42
231.8,299.26
232.0,298.57
232.2,300.93
232.4,299.21
232.6,299.16
232.8,299.11
233.0,300.23
233.2,298.85
233.4,300.96
233.6,301.13
233.8,301.04
234.0,300.52
234.2,301.26
234.4,300.84
234.6,301.67
234.8,299.91
235.0,300.04
235.2,300.61
235.4,300.51
235.6,298.76
235.8,300.45
236.0,299.36
236.2,301.25
236.4,298.31
236.6,299.96
236.8,299.33
237.0,298.08
237.2,299.37
237.4,300.16
237.6,299.09
237.8,300.17
238.0,300.5
238.2,299.57
238.4,300.02
238.6,299.75
238.8,299.25
239.0,300.24
239.2,300.21
239.4,299.08
239.6,299.48
239.8,300.82
240.0,300.63
240.2,300.33
240.4,300.17
240.6,299.65
240.8,300.12
241.0,298.32
241.2,297.97
241.4,299.56
241.6,298.99
241.8,300.51
242.0,302.15
242.2,301.92
242.4,300.67
242.6,300.39
242.8,300.62
243.0,300.43
243.2,298.6
243.4,299.04
243.6,297.84
243.8,299.12
244.0,300.4
244.2,298.4
244.4,300.09
244.6,299.15
244.8,301.05
245.0,300.84
245.2,300.08
245.4,300.48
245.6,300.55
245.8,299.57
246.0,302.26
246.2,301.02
246.4,300.11
246.6,301.0
246.8,301.58
247.0,299.52
247.2,300.37
247.4,300.52
247.6,300.38
247.8,299.96
248.0,300.86
248.2,299.6
248.4,298.93
248.6,300.4
248.8,300.93
249.0,299.79
249.2,299.57
249.4,300.66
249.6,298.91
249.8,300.96
250.0,299.45
250.2,300.4
250.4,301.31
250.6,302.6
250.8,302.21
251.0,300.51
251.2,301.2
251.4,300.1
251.6,299.68
251.8,299.85
252.0,298.83
252.2,298.9
252.4,299.8
252.6,299.46
252.8,299.2
253.0,298.73
253.2,299.02
253.4,299.1
253.6,299.83
253.8,299.0
254.0,300.08
254.2,301.05
254.4,300.04
254.6,300.93
254.8,300.9
255.0,300.76
255.2,300.42
255.4,299.86
255.6,300.29
255.8,300.03
256.0,299.62
256.2,299.93
256.4,298.99
256.6,298.88
256.8,298.26
257.0,299.21
257.2,300.24
257.4,299.59
257.6,299.67
257.8,299.4
258.0,298.58
258.2,297.28
258.4,298.42
258.6,298.86
258.8,299.13
259.0,299.82
259.2,300.0
259.4,300.69
259.6,298.84
259.8,298.72
260.0,298.65
260.2,298.97
260.4,299.6
260.6,301.69
260.8,300.73
261.0,300.71
261.2,299.58
261.4,301.28
261.6,301.43
261.8,300.0
262.0,301.0
262.2,300.39
262.4,300.73
262.6,300.58
262.8,300.54
263.0,300.81
263.2,301.14
263.4,300.66
263.6,298.58
263.8,299.81
264.0,300.08
264.2,300.03
264.4,299.51
264.6,299.86
264.8,298.69
265.0,300.2
265.2,299.6
265.4,300.83
265.6,299.52
265.8,300.16
266.0,301.13
266.2,300.25
266.4,300.38
266.6,300.45
266.8,299.62
267.0,299.61
267.2,301.13
267.4,301.13
267.6,300.57
267.8,301.31
268.0,298.79
268.2,298.79
268.4,299.49
268.6,300.24
268.8,299.51
269.0,299.57
269.2,299.55
269.4,298.72
269.6,299.93
269.8,298.91
270.0,299.64
270.2,299.12
270.4,301.6
270.6,301.23
270.8,300.7
271.0,300.37
271.2,300.81
271.4,299.3
271.6,299.78
271.8,301.98
272.0,300.94
272.2,299.13
272.4,299.19
272.6,299.69
272.8,300.3
273.0,299.53
273.2,298.63
273.4,298.28
273.6,297.93
273.8,298.49
274.0,299.18
274.2,301.38
274.4,300.38
274.6,300.05
274.8,300.3
275.0,299.46
275.2,299.91
275.4,299.16
275.6,299.55
275.8,299.36
276.0,299.98
276.2,301.89
276.4,300.06
276.6,300.45
276.8,298.84
277.0,299.54
277.2,298.79
277.4,300.55
277.6,299.09
277.8,299.49
278.0,299.23
278.2,299.68
278.4,299.61
278.6,301.17
278.8,299.42
279.0,299.74
279.2,297.11
279.4,298.83
279.6,298.46
279.8,297.7
280.0,298.76
280.2,298.84
280.4,300.47
280.6,300.49
280.8,298.86
281.0,300.11
281.2,301.31
281.4,298.73
281.6,299.03
281.8,300.52
282.0,299.39
282.2,298.92
282.4,300.04
282.6,301.31
282.8,301.02
283.0,300.7
283.2,299.14
283.4,299.69
283.6,300.07
283.8,300.04
284.0,299.86
284.2,299.22
284.4,299.01
284.6,300.46
284.8,299.59
285.0,299.18
285.2,300.77
285.4,300.6
285.6,300.2
285.8,299.51
286.0,300.65
286.2,299.33
286.4,299.13
286.6,299.16
286.8,299.51
287.0,298.28
287.2,299.19
287.4,300.61
287.6,298.29
287.8,300.66
288.0,299.91
288.2,299.59
288.4,300.87
288.6,299.35
288.8,301.44
289.0,301.61
289.2,300.94
289.4,299.52
289.6,300.64
289.8,299.01
290.0,298.76
290.2,300.37
290.4,300.86
290.6,300.98
290.8,300.59
291.0,300.16
291.2,299.5
291.4,299.55
291.6,300.15
291.8,299.57
292.0,299.8
292.2,300.47
292.4,298.8
292.6,299.95
292.8,300.42
293.0,300.25
293.2,299.82
293.4,298.67
293.6,299.97
293.8,299.41
294.0,301.34
294.2,300.87
294.4,299.71
294.6,300.63
294.8,299.1
295.0,299.55
295.2,298.37
295.4,299.18
295.6,299.6
295.8,297.64
296.0,299.87
296.2,298.43
296.4,298.81
296.6,299.65
296.8,300.62
297.0,299.67
297.2,299.89
297.4,300.94
297.6,299.95
297.8,300.25
298.0,299.97
298.2,299.85
298.4,300.05
