Time (ps),EKTOT
225.0,90165.9604
225.2,90144.535
225.4,90005.1682
225.6,89606.2167
225.8,89967.7359
226.0,90192.8872
226.2,89899.8145
226.4,89655.863
226.6,90179.315
226.8,89812.5284
227.0,89734.3079
227.2,89912.2297
227.4,89866.451
227.6,90436.7846
227.8,90087.6368
228.0,89940.5747
228.2,90144.4646
228.4,90142.4875
228.6,89777.9549
228.8,89708.4264
229.0,90096.7579
229.2,89911.7869
229.4,89965.6953
229.6,90073.7311
229.8,90219.3074
230.0,90521.441
230.2,90111.7317
230.4,90448.5739
230.6,90237.6927
230.8,90256.2371
231.0,90287.7635
231.2,90172.9356
231.4,90248.4367
231.6,90012.3732
231.8,89954.3565
232.0,89992.7814
232.2,90182.8633
232.4,90065.2608
232.6,90102.2849
232.8,89989.7527
233.0,90342.6139
233.2,89946.2217
233.4,90139.3974
233.6,89726.5785
233.8,89824.1156
234.0,89864.2221
234.2,89796.8685
234.4,90152.4237
234.6,89756.5058
234.8,90128.606
235.0,90180.0937
235.2,90174.8222
235.4,90096.5895
235.6,90397.0732
235.8,90143.9789
236.0,90322.8689
236.2,90145.8872
236.4,90344.7536
236.6,89833.9871
236.8,89657.0165
237.0,89989.5263
237.2,89560.0741
237.4,90237.167
237.6,89959.6559
237.8,90073.0969
238.0,89430.9066
238.2,90046.8741
238.4,90130.7626
238.6,89862.2234
238.8,90154.7308
239.0,90149.7834
239.2,89934.159
239.4,90215.9294
239.6,90274.9843
239.8,90280.4533
240.0,90177.4931
240.2,90326.3606
240.4,89833.2803
240.6,90348.5795
240.8,90106.2637
241.0,90320.0285
241.2,89993.7204
241.4,90127.5445
241.6,89859.9058
241.8,90126.774
242.0,90314.2432
242.2,90075.383
242.4,90629.6769
242.6,90155.0272
242.8,90048.7123
243.0,90188.3618
243.2,89716.8456
243.4,90013.0526
243.6,89915.9493
243.8,90217.4032
244.0,90086.4956
244.2,90028.0314
244.4,89866.3328
244.6,90152.2877
244.8,89937.5481
245.0,89741.9053
245.2,90106.3377
245.4,90064.7439
245.6,90060.2488
245.8,90161.8512
246.0,90034.1991
246.2,89876.6359
246.4,89933.9717
246.6,90378.4018
246.8,90320.1443
247.0,90219.8223
247.2,90035.1066
247.4,90487.6447
247.6,90332.45
247.8,90418.9779
248.0,89913.885
248.2,90259.1343
248.4,89800.4308
248.6,89995.892
248.8,89900.7981
249.0,90151.8906
249.2,90075.2252
249.4,90254.7365
249.6,90560.6047
249.8,90174.5476
250.0,90089.8749
250.2,90323.0897
250.4,90102.4382
250.6,90165.3818
250.8,90174.0275
251.0,90100.8459
251.2,90577.0296
251.4,90354.2645
251.6,90278.0137
251.8,90523.0489
252.0,90702.1613
252.2,90148.0605
252.4,90030.5262
252.6,90154.6125
252.8,90212.4328
253.0,89975.3591
253.2,89804.7443
253.4,89949.0429
253.6,90199.7957
253.8,90038.5368
254.0,90025.6828
254.2,89961.3021
254.4,90559.2957
254.6,90061.9482
254.8,90505.2943
255.0,90053.8257
255.2,90518.7133
255.4,90149.3476
255.6,90113.4551
255.8,89976.8441
256.0,90033.645
256.2,90314.0561
256.4,90033.0658
256.6,90329.6126
256.8,90019.2208
