Time (ps),EKTOT
177.2,84007.9368
177.4,83706.7877
177.6,84108.8227
177.8,83889.0976
178.0,83968.424
178.2,84016.6629
178.4,83732.5552
178.6,83509.0564
178.8,83872.3043
179.0,83738.5225
179.2,83683.7268
179.4,84018.2719
179.6,83971.5877
179.8,83728.2219
180.0,83904.9146
180.2,84275.1877
180.4,84220.0342
180.6,84128.4267
180.8,84081.7079
181.0,84172.5881
181.2,84646.8074
181.4,84004.584
181.6,84529.1475
181.8,84154.9823
182.0,84389.4551
182.2,83853.0173
182.4,84373.5886
182.6,83951.4247
182.8,83527.1278
183.0,83495.0595
183.2,83763.2494
183.4,83512.2782
183.6,83507.2535
183.8,83619.5107
184.0,83729.3496
184.2,83633.9832
184.4,84014.5805
184.6,83697.83
184.8,83643.7071
185.0,84049.3548
185.2,83857.6068
185.4,83260.3371
185.6,83556.1934
185.8,83986.7134
186.0,84289.6626
186.2,83768.4362
186.4,84092.883
186.6,83931.284
186.8,83859.0114
187.0,83647.4955
187.2,83570.3458
187.4,83265.4307
187.6,83508.7411
187.8,83667.6719
188.0,83792.3043
188.2,83511.9675
188.4,84136.2498
188.6,83774.0058
188.8,84063.7978
189.0,83815.0519
189.2,83873.5212
189.4,83905.9265
189.6,83462.9022
189.8,84001.0168
190.0,83882.6034
190.2,84143.065
190.4,83902.111
190.6,83881.4065
190.8,84107.0121
191.0,83904.9925
191.2,83901.8588
191.4,83858.8575
191.6,83780.7879
191.8,83498.3534
192.0,83580.0334
192.2,83747.2891
192.4,83725.6286
192.6,83656.0513
192.8,83885.054
193.0,83482.3279
193.2,83968.7079
193.4,83821.6308
193.6,83545.8675
193.8,83629.0724
194.0,83778.3113
194.2,83964.2555
194.4,84410.3352
194.6,84273.2567
194.8,84146.0776
195.0,84344.3643
195.2,84003.3384
195.4,83946.2608
195.6,83916.4332
195.8,83874.9377
196.0,83742.1659
196.2,84379.9078
196.4,83527.7901
196.6,84102.1782
196.8,83859.239
197.0,83535.5255
197.2,83920.2103
197.4,84084.1385
197.6,83739.0167
197.8,83835.4565
198.0,83740.3152
198.2,84049.4881
198.4,83470.6095
198.6,83918.3042
198.8,84078.3069
199.0,84249.7559
199.2,84348.3472
199.4,83972.1019
199.6,84271.9389
199.8,84073.9171
200.0,84065.7317
200.2,83822.1583
200.4,84036.4279
200.6,83706.6792
200.8,83689.4849
201.0,83802.0244
201.2,83646.7951
201.4,83860.588
201.6,83983.8131
201.8,84165.0514
202.0,83938.0092
202.2,83724.43
202.4,83618.4721
202.6,83837.9574
202.8,83846.3374
203.0,83716.7691
203.2,84134.4391
203.4,83822.0189
203.6,84413.1879
203.8,84045.0448
204.0,84326.3525
204.2,84122.2943
204.4,83928.3042
204.6,83905.9449
204.8,84175.1524
205.0,83903.2269
205.2,84366.0897
205.4,83775.6665
205.6,84090.0839
205.8,83629.5452
206.0,84077.6312
206.2,84004.4427
206.4,84039.8301
206.6,83714.3616
206.8,83744.2968
207.0,84332.3372
207.2,84342.9236
207.4,83967.495
207.6,83909.9793
207.8,83913.0535
208.0,84029.8481
208.2,83660.8502
208.4,84022.6136
208.6,84318.4644
208.8,84254.4228
209.0,84140.2194
209.2,84056.6023
209.4,83976.2059
209.6,83880.5693
209.8,84039.5046
210.0,84147.8966
210.2,84189.505
210.4,84101.4319
210.6,83836.1408
210.8,83824.3006
211.0,83917.867
211.2,84133.2127
211.4,83680.6413
211.6,83813.6378
211.8,83786.3491
212.0,84097.7009
212.2,84029.7391
212.4,83723.7824
212.6,84051.4364
212.8,83828.9161
213.0,83965.5367
213.2,83863.6815
213.4,83316.8657
213.6,83682.1506
213.8,83603.7005
214.0,83629.1125
214.2,83845.1768
214.4,83690.3936
214.6,83689.1456
214.8,83741.659
215.0,83479.4351
215.2,83934.6968
215.4,83889.2863
215.6,83973.7032
215.8,83893.1025
216.0,84075.0877
216.2,83946.1105
216.4,83914.2819
216.6,83934.1425
216.8,84191.1001
217.0,83560.0702
217.2,84222.7364
217.4,83930.6382
217.6,83949.9954
217.8,84045.3289
218.0,84234.9411
218.2,83655.2467
218.4,83956.1002
218.6,83767.6772
218.8,84051.407
219.0,83969.9309
219.2,84027.2077
219.4,84212.4499
219.6,84054.9809
219.8,84045.8787
220.0,84236.8502
220.2,83995.4394
220.4,83604.0714
220.6,83639.9464
220.8,84005.619
221.0,83905.9686
221.2,83904.1395
221.4,84104.2554
221.6,83999.452
221.8,83625.2126
222.0,83876.3035
222.2,83918.2874
222.4,84292.5845
222.6,84217.3439
222.8,84199.6504
223.0,83841.4556
223.2,84077.586
223.4,83748.5958
223.6,83745.6272
223.8,83842.7634
224.0,83622.2978
224.2,83751.5814
224.4,84129.9449
224.6,84168.5513
224.8,84014.4808
225.0,84069.1529
225.2,84234.3292
225.4,83815.7315
225.6,83579.6926
225.8,84122.7136
226.0,83900.5029
226.2,84187.4017
226.4,83948.2196
226.6,84495.8561
226.8,84253.0663
227.0,84079.9096
227.2,83761.8152
227.4,84239.2274
227.6,84101.5554
227.8,84037.484
228.0,84123.8011
228.2,84142.5492
228.4,84030.3974
228.6,83840.0356
228.8,84045.5775
229.0,84247.7261
229.2,84180.0174
229.4,84358.9125
229.6,83849.0926
229.8,83688.8836
230.0,83460.3173
230.2,83770.1396
230.4,83896.7301
230.6,84334.5344
230.8,84085.1414
231.0,84498.5492
231.2,84222.8805
231.4,83873.7389
231.6,83794.7411
231.8,84101.1116
232.0,83931.4315
232.2,83870.0708
232.4,84374.4639
232.6,83771.0156
232.8,84048.579
233.0,83925.3169
233.2,83675.8219
233.4,83616.4073
233.6,83856.8859
233.8,83947.5789
234.0,83958.3448
234.2,83875.6813
234.4,84173.6258
234.6,84256.3425
234.8,83978.7495
235.0,84112.6782
235.2,84094.1935
235.4,83946.628
235.6,83898.311
235.8,83739.6612
236.0,83733.7969
236.2,84359.3209
236.4,83929.7672
236.6,84003.4177
236.8,83750.6589
237.0,84094.0906
237.2,84475.1692
237.4,84049.4169
237.6,84001.3823
237.8,84025.4059
238.0,84475.8542
238.2,84302.1381
238.4,84092.1193
238.6,84149.9695
238.8,83924.694
239.0,83953.2812
239.2,84114.5775
239.4,84241.7846
239.6,83713.4772
239.8,84025.3354
240.0,84056.7144
240.2,83835.2966
240.4,84226.4692
240.6,83910.2949
240.8,83911.7623
241.0,83556.2136
241.2,84074.3543
241.4,83846.1526
241.6,83695.5293
241.8,83850.8725
242.0,83674.4988
242.2,83865.499
242.4,83651.1273
242.6,84080.7936
242.8,83680.3171
243.0,84043.9998
243.2,84129.0893
243.4,83928.3073
243.6,83611.4917
243.8,84210.0102
244.0,83861.1591
244.2,84106.7504
244.4,84495.49
244.6,83867.3061
244.8,84245.1052
245.0,84137.47
245.2,84024.011
245.4,83986.7714
245.6,83889.5815
245.8,84022.5785
246.0,83913.9614
246.2,84037.8202
246.4,83852.7219
246.6,84257.1764
246.8,83605.2484
247.0,83551.725
247.2,83938.8084
247.4,83691.0659
247.6,84036.9787
247.8,83871.1241
248.0,83771.2642
248.2,83822.183
248.4,84079.952
248.6,83643.7629
248.8,83675.3176
249.0,83631.6261
249.2,83871.7147
249.4,84017.0606
249.6,83796.4446
249.8,83934.1216
250.0,83686.8869
250.2,84018.3609
250.4,83571.3878
250.6,83951.9858
250.8,83856.2086
251.0,83990.0309
251.2,83994.5532
251.4,84220.3466
251.6,83722.9739
251.8,83718.0484
252.0,83668.3886
252.2,83765.7922
252.4,83646.868
252.6,84114.7948
252.8,83986.1864
253.0,84049.4904
253.2,83948.2824
253.4,83704.7395
253.6,84043.3512
253.8,83832.6465
254.0,83927.0933
254.2,83617.4851
254.4,83796.595
254.6,83648.9558
254.8,83779.0706
255.0,83368.8382
255.2,83710.5548
255.4,84030.6888
255.6,83936.9827
255.8,84141.7156
256.0,84132.62
256.2,84254.3304
256.4,83997.1993
256.6,84404.7719
256.8,84041.0163
257.0,83959.4805
257.2,83969.2965
257.4,84033.4025
257.6,83662.0557
257.8,84118.6549
258.0,84013.1666
258.2,84060.6217
258.4,84062.0849
258.6,84455.3572
258.8,84347.026
259.0,84243.7217
259.2,83802.3571
259.4,84094.1362
259.6,84045.2825
259.8,83911.2709
260.0,83730.1364
260.2,83757.6069
260.4,83735.2724
260.6,83980.4551
260.8,83946.7122
261.0,83730.4291
261.2,83911.0969
261.4,83937.4448
261.6,83898.8022
261.8,83912.7079
262.0,84217.3151
262.2,84091.0698
262.4,83776.9068
262.6,84209.7487
262.8,83624.5513
263.0,84088.4291
263.2,84081.2526
263.4,83865.5096
263.6,84102.4805
263.8,83898.0759
264.0,84344.602
264.2,84029.6031
264.4,83617.3406
264.6,83704.5679
264.8,83769.4356
265.0,83433.0394
265.2,83900.5241
265.4,83816.5821
265.6,83968.1493
265.8,84046.2539
266.0,83947.0563
266.2,84034.0035
266.4,84091.7538
266.6,84146.1594
266.8,84196.7588
267.0,83786.2038
267.2,83913.4086
267.4,84106.8795
267.6,83405.0878
267.8,83877.7231
268.0,83925.4348
268.2,83681.7302
268.4,83930.4782
268.6,84341.9832
268.8,84229.1871
269.0,84033.4762
269.2,83633.2834
269.4,83632.3616
269.6,83934.1564
269.8,83911.0011
270.0,84122.0806
270.2,83906.1444
270.4,83818.2513
270.6,83744.2948
270.8,84128.9527
271.0,83634.4382
271.2,83828.9983
271.4,84039.2114
271.6,84038.9429
271.8,83766.8077
272.0,83768.7017
272.2,83865.5335
272.4,84026.5097
272.6,83993.3797
272.8,84181.2062
273.0,84164.5833
273.2,84016.1352
273.4,84198.7289
273.6,83888.3914
273.8,84192.3105
274.0,83831.8077
274.2,84063.3282
274.4,83913.581
274.6,84067.0744
274.8,84114.502
275.0,83800.6995
275.2,83920.7877
275.4,83834.2164
275.6,83984.8567
275.8,83817.3673
276.0,83948.1789
276.2,83864.8576
276.4,83878.9836
276.6,83633.4898
276.8,83963.1966
277.0,84014.0864
277.2,83802.9117
277.4,83882.0751
277.6,84003.6279
277.8,84044.5866
278.0,84184.9302
278.2,84345.388
278.4,84076.096
278.6,84025.1838
278.8,84216.3162
279.0,84460.1457
279.2,84173.1951
279.4,84437.7191
279.6,84188.0063
279.8,83826.8972
280.0,83684.7002
280.2,84070.4831
280.4,84008.7372
280.6,84105.9576
280.8,83968.8943
281.0,84014.401
281.2,83906.4782
281.4,83880.1086
281.6,84019.7945
281.8,84106.1235
282.0,83921.1721
282.2,83636.1799
282.4,84006.6395
282.6,83877.5234
282.8,84274.6275
283.0,83847.191
283.2,83788.8121
283.4,84218.9065
283.6,84017.0459
283.8,83813.4585
284.0,83673.2817
284.2,83745.8491
284.4,84142.4523
284.6,83966.6308
284.8,83901.4982
285.0,84319.3875
285.2,83843.5585
285.4,83586.8398
285.6,83765.2806
285.8,83868.1186
286.0,83547.096
286.2,83801.9687
286.4,83818.7516
286.6,84034.9164
286.8,83836.5296
287.0,83468.7205
287.2,83736.5355
287.4,83449.1568
287.6,83869.1416
287.8,83643.0669
288.0,83677.3337
288.2,83986.442
288.4,83580.6429
288.6,84039.9195
288.8,83723.3026
289.0,83883.2332
289.2,83829.9992
289.4,83851.7463
289.6,84119.2754
289.8,83822.9434
290.0,84484.9208
290.2,84302.6526
290.4,84353.1468
290.6,83914.4863
290.8,83909.7844
291.0,84229.8768
291.2,84018.8492
291.4,84166.2377
291.6,84299.8042
291.8,83796.9969
292.0,84247.3585
292.2,84307.1565
292.4,83806.6148
292.6,84064.492
292.8,83564.8928
293.0,83818.096
293.2,83509.159
293.4,84079.3706
293.6,84068.2929
293.8,83962.6929
294.0,84168.9744
294.2,84398.54
294.4,84268.116
294.6,83784.1611
