Time (ps),Radius of gyration ($\AA$)
9020.0,31.434458811731457
9040.0,31.41675783264956
9060.0,31.410979999179244
9080.0,31.392334140755978
9100.0,31.44171365633262
9120.0,31.40077901890084
9140.0,31.425507161687456
9160.0,31.410715871237006
9180.0,31.404721224077488
9200.0,31.408819323173542
9220.0,31.41204773776495
9240.0,31.395485236646653
9260.0,31.427580888283888
9280.0,31.427660639268343
9300.0,31.408090460778627
9320.0,31.432864037958502
9340.0,31.414935021401224
9360.0,31.411657171579552
9380.0,31.410932335183645
9400.0,31.401799330862623
9420.0,31.424817485551408
9440.0,31.41485840752116
9460.0,31.404462663416997
9480.0,31.431598110274237
9500.0,31.382008605547565
9520.0,31.39735736600126
9540.0,31.38345796246982
9560.0,31.38529846156289
9580.0,31.408258607267893
9600.0,31.410893414929962
9620.0,31.390855114598935
9640.0,31.381653361427123
9660.0,31.41162704418032
9680.0,31.427605397687294
9700.0,31.383283688303216
9720.0,31.40701448334297
9740.0,31.424701824784155
9760.0,31.398145032207122
9780.0,31.404544754680774
9800.0,31.418066433111644
9820.0,31.40679875121844
9840.0,31.43102370513139
9860.0,31.393692197287468
9880.0,31.407885570709876
9900.0,31.423309837170336
9920.0,31.39774203508837
9940.0,31.40922539163545
9960.0,31.405392786730147
9980.0,31.38344803545155
10000.0,31.399530131998205
10020.0,31.42871789048669
10040.0,31.401197422304545
10060.0,31.407822261656055
10080.0,31.39670104838727
10100.0,31.42103650978512
10120.0,31.386934135982404
10140.0,31.41403811885524
10160.0,31.41549735397857
10180.0,31.3984546737256
10200.0,31.39642876625941
10220.0,31.389844643144592
10240.0,31.410290945936378
10260.0,31.41329210812778
10280.0,31.372570172851063
10300.0,31.37448492885126
10320.0,31.41412892351793
10340.0,31.386871672751592
10360.0,31.384424208202347
10380.0,31.371930404049206
10400.0,31.389647538362834
10420.0,31.435973877487424
10440.0,31.438561671334764
10460.0,31.377050395083263
10480.0,31.38923356789487
10500.0,31.37878666317035
10520.0,31.406776989905083
10540.0,31.421988353858005
10560.0,31.387704578890464
10580.0,31.422871212978244
10600.0,31.401250465415657
10620.0,31.410232944073062
10640.0,31.396055055017953
10660.0,31.397990492679753
10680.0,31.400620258710852
10700.0,31.419274663888427
10720.0,31.39989489685568
10740.0,31.39350088378349
10760.0,31.403459265828936
10780.0,31.436432169152337
10800.0,31.397822134049623
10820.0,31.4095870072596
10840.0,31.405606572275254
10860.0,31.408179571073845
10880.0,31.421465259140685
10900.0,31.400990504549387
10920.0,31.410255509632734
10940.0,31.420545420763293
10960.0,31.380152197128325
10980.0,31.36825510409552
11000.0,31.42766989499158
11020.0,31.3962497519157
11040.0,31.399199407959337
11060.0,31.404393175891
11080.0,31.427071739159846
11100.0,31.41731118519739
11120.0,31.42741213959378
11140.0,31.415109294686182
11160.0,31.405706205512335
11180.0,31.39250831885099
11200.0,31.415231075681117
11220.0,31.38139563910124
11240.0,31.389298831189382
11260.0,31.405513310309733
11280.0,31.400112756594545
11300.0,31.383024120333012
11320.0,31.432694005579336
11340.0,31.427561762783583
11360.0,31.417406763683047
11380.0,31.37535526942407
11400.0,31.40362988946203
11420.0,31.41895932630097
11440.0,31.39360998554138
11460.0,31.390207460694217
11480.0,31.422159995942902
11500.0,31.362588532920725
11520.0,31.388634753743062
11540.0,31.39003889791791
11560.0,31.37808647925641
11580.0,31.41615695011646
11600.0,31.383260564996586
11620.0,31.393040468220562
11640.0,31.397205472443382
11660.0,31.427133016085786
11680.0,31.40491230790603
11700.0,31.416551369644353
11720.0,31.405730396932064
11740.0,31.404181631746347
11760.0,31.416788980424442
11780.0,31.445422262577924
11800.0,31.40968055668523
11820.0,31.45323987124236
11840.0,31.395102663339024
11860.0,31.39290953551563
11880.0,31.367263369557875
11900.0,31.42055314194346
11920.0,31.395642672316292
11940.0,31.38896584083159
11960.0,31.387640651502835
11980.0,31.428299981322144
12000.0,31.424691696422997
12020.0,31.38479881408482
12040.0,31.407395270636194
12060.0,31.4098087873306
12080.0,31.390928074224284
12100.0,31.407801055329436
12120.0,31.36958868146915
12140.0,31.381838703480128
12160.0,31.403121666166612
12180.0,31.400173792476036
12200.0,31.436886278312794
12220.0,31.41248303433174
12240.0,31.386311900414015
12260.0,31.39958831339238
12280.0,31.405155248702837
12300.0,31.40286243667026
12320.0,31.394327613212255
12340.0,31.3987093919349
12360.0,31.40076933844788
12380.0,31.398656238282694
12400.0,31.43079196695077
12420.0,31.41696754107591
12440.0,31.39480849733684
12460.0,31.41784323568664
12480.0,31.41737524489907
12500.0,31.394836720822187
12520.0,31.410401910063854
12540.0,31.3936532758409
12560.0,31.393184709918668
12580.0,31.380587764074296
12600.0,31.377978979224217
12620.0,31.399767224207086
12640.0,31.375282216224914
12660.0,31.393030198399494
12680.0,31.390011414001254
12700.0,31.384739495675753
12720.0,31.390051017704977
12740.0,31.3862182418709
12760.0,31.395931625832507
12780.0,31.39434775022075
12800.0,31.37555291124594
12820.0,31.36034831034419
12840.0,31.376676915374418
12860.0,31.399107205687073
12880.0,31.37361408427446
12900.0,31.40674782481528
12920.0,31.4293255586883
12940.0,31.424982380259475
12960.0,31.386574056354235
12980.0,31.37764749036835
13000.0,31.421534731883295
13020.0,31.44636539866151
13040.0,31.387643504779998
13060.0,31.40943301332506
13080.0,31.387111049912317
13100.0,31.422505635195208
13120.0,31.387003921322286
13140.0,31.39630646222316
13160.0,31.383732857401863
13180.0,31.395981731875672
13200.0,31.387768546928022
13220.0,31.40787673333951
13240.0,31.37534508713702
13260.0,31.40856154079473
13280.0,31.37502420591288
13300.0,31.404979834431263
13320.0,31.3539935959753
13340.0,31.385264380369676
13360.0,31.39548509417539
13380.0,31.399596680150292
13400.0,31.370134811098488
13420.0,31.44960903431677
13440.0,31.402885442119267
13460.0,31.380159230442175
13480.0,31.428961628648853
13500.0,31.387447697022616
13520.0,31.40503248763713
13540.0,31.39092798693883
13560.0,31.39288142592432
13580.0,31.388465440018006
13600.0,31.382913577813063
13620.0,31.375411768180175
13640.0,31.39774075582229
13660.0,31.367744999359203
13680.0,31.388141080090502
13700.0,31.361372962192817
13720.0,31.37811178206235
13740.0,31.39994262597164
13760.0,31.40136545043149
13780.0,31.409096550365053
13800.0,31.37121384551877
13820.0,31.40602347217315
13840.0,31.37986732429225
13860.0,31.383118318552153
13880.0,31.400297695321317
13900.0,31.42126840778695
13920.0,31.360112673574665
13940.0,31.39151558173298
13960.0,31.355190990186884
13980.0,31.383757897993203
14000.0,31.324352755120078
14020.0,31.4202199760452
14040.0,31.388678728874044
14060.0,31.39423985932139
14080.0,31.408623694769744
14100.0,31.404635720270797
14120.0,31.423511901315624
14140.0,31.386442146646626
14160.0,31.383137867463176
14180.0,31.400684003379844
14200.0,31.360776035079947
14220.0,31.395757001587896
14240.0,31.35653237334919
14260.0,31.40739817643742
14280.0,31.37319625537798
14300.0,31.395879609178056
14320.0,31.35570940755921
14340.0,31.397640987235057
14360.0,31.393739735556956
14380.0,31.379103902034394
